,State Name,county Name,State Code,County Code,Date,AQI,Category,Defining Parameter,Defining Site,Number of Sites Reporting
180515,New York,New York,36,61,2012-10-30,26,Good,PM2.5,36-061-0135,1
180516,New York,New York,36,61,2012-10-31,23,Good,PM2.5,36-061-0135,1
180517,New York,New York,36,61,2012-11-01,28,Good,PM2.5,36-061-0135,1
180518,New York,New York,36,61,2012-11-02,26,Good,PM2.5,36-061-0135,1
180519,New York,New York,36,61,2012-11-03,26,Good,PM2.5,36-061-0135,2
180520,New York,New York,36,61,2012-11-04,36,Good,PM2.5,36-061-0128,3
180521,New York,New York,36,61,2012-11-05,44,Good,PM2.5,36-061-0128,4
180522,New York,New York,36,61,2012-11-06,54,Moderate,PM2.5,36-061-0128,3
180523,New York,New York,36,61,2012-11-07,54,Moderate,PM2.5,36-061-0128,3
180524,New York,New York,36,61,2012-11-08,48,Good,PM2.5,36-061-0128,4
180525,New York,New York,36,61,2012-11-09,58,Moderate,PM2.5,36-061-0128,3
180526,New York,New York,36,61,2012-11-10,77,Moderate,PM2.5,36-061-0128,3
180527,New York,New York,36,61,2012-11-11,74,Moderate,PM2.5,36-061-0134,4
180528,New York,New York,36,61,2012-11-12,61,Moderate,PM2.5,36-061-0128,3
180529,New York,New York,36,61,2012-11-13,42,Good,PM2.5,36-061-0128,3
180530,New York,New York,36,61,2012-11-14,56,Moderate,PM2.5,36-061-0128,4
180531,New York,New York,36,61,2012-11-15,57,Moderate,PM2.5,36-061-0128,3
180532,New York,New York,36,61,2012-11-16,61,Moderate,PM2.5,36-061-0128,3
180533,New York,New York,36,61,2012-11-17,61,Moderate,PM2.5,36-061-0128,4
180534,New York,New York,36,61,2012-11-18,62,Moderate,PM2.5,36-061-0128,3
180535,New York,New York,36,61,2012-11-19,65,Moderate,PM2.5,36-061-0128,3
180536,New York,New York,36,61,2012-11-20,65,Moderate,PM2.5,36-061-0128,4
180537,New York,New York,36,61,2012-11-21,70,Moderate,PM2.5,36-061-0128,3
180538,New York,New York,36,61,2012-11-22,63,Moderate,PM2.5,36-061-0134,3
180539,New York,New York,36,61,2012-11-23,66,Moderate,PM2.5,36-061-0134,4
180540,New York,New York,36,61,2012-11-24,45,Good,PM2.5,36-061-0134,3
180541,New York,New York,36,61,2012-11-25,53,Moderate,PM2.5,36-061-0134,3
180542,New York,New York,36,61,2012-11-26,61,Moderate,PM2.5,36-061-0128,4
180543,New York,New York,36,61,2012-11-27,68,Moderate,PM2.5,36-061-0128,3
